Dataset,Problema,N record,% totale,Decisione,Motivazione,Impatto modello
Aggregated_Data,CLIENT_ID null,8,~0%,DROP righe,CLIENT_ID e la chiave primaria — senza di essa la riga e inutilizzabile,Trascurabile (8 righe su 1.5M)
Aggregated_Data,AGE: 70.8% missing (MAR temporale),1075042,70.8%,Creare flag AGE_KNOWN (0/1). Non imputare.,Missing decresce da 94.6% (2006) a 63.2% (2021). Imputare introdurrebbe bias temporale. La flag preserva il segnale informativo.,AGE usabile solo su snapshot 2021 con AGE_KNOWN=1 + imputazione mediana per mercato/genere in feature engineering
Aggregated_Data,STDDEV/AVG/MIN_TIMELAPSE_TRS: 84-95% missing strutturale,1276948,~85%,Creare flag HAS_MULTIPLE_PURCHASES (0/1). Non imputare valori originali.,Missing strutturale: presenti solo se NB_TRS > 1. La flag e informativa di per se (segnale di loyalty).,HAS_MULTIPLE_PURCHASES e feature diretta per la Parte 1 del Two-Part Model
Aggregated_Data,ALL_REPAIR_*: missing strutturale,0,varia,Creare flag HAS_REPAIR_HISTORY (0/1). Non imputare.,Missing strutturale: presenti solo se cliente ha riparazioni. La flag cattura il profilo 'cliente con prodotti'.,Segnale di retention — cliente con repair ha prodotto attivo e probabilmente torni
Aggregated_Data,TARGET_3Y=0: 95.2% su snapshot 2021,392652,95.2%,Nessuna azione. Two-Part Model gestisce la massa a zero esplicitamente.,"Distribuzione power-law attesa. La massa a zero e il fenomeno da modellare, non un problema di qualita.",CRITICO — definisce la Parte 1 (classificatore P(TARGET>0))
Aggregated_Data,TO_FULL_HIST=0 con TARGET>0,0,0%,Nessuna azione. Dataset coerente.,Zero violazioni confermate in Fase 7B.,Nessuno
Transactions,TO_WITHOUTTAX_EUR_CONST < 0 (4 righe),4,0.0004%,DROP righe,Rettifiche su Repair. Impatto trascurabile. Non codificano resi (che sarebbero in TRS_CATEG=Sale).,Trascurabile
Transactions,TO_WITHOUTTAX_EUR_CONST null (422 righe),422,0.046%,"IMPUTA: Sale->ARTICLE_WWPRICE, Repair->0. Flag TO_WITHOUTTAX_IMPUTED.",WWPRICE e la miglior stima per vendite; 0 e conservativo per riparazioni (potrebbe essere servizio gratuito).,Minimo. Flag permette di escludere imputati dal training se necessario.
Transactions,SERIAL_NUMBER null (97.221 = 10.6%),97221,10.6%,Mantenere null. Creare flag SERIAL_NUMBER_KNOWN (0/1).,"Vendite senza serial tracciato sono legittime (accessori, fragranze). La flag e informativa.",SERIAL_NUMBER non sara feature diretta — usata solo come indicatore di tipo prodotto
Transactions,SERIAL_NUMBER placeholder '4e2e3377...' (16.741 = 1.8%),16741,1.8%,Sostituire con NaN. Incluso in SERIAL_NUMBER_KNOWN=0.,Il placeholder maschera un null reale. Trattarlo come null evita contaminazione nei join su SERIAL_NUMBER.,Minimo
Transactions,ARTICLE_WWPRICE=0 con TO_WITHOUTTAX>0 — Repair (3.386),3386,0.37%,MANTENERE. Flag WWPRICE_MISSING=1.,LEGITTIMO: costo di servizio riparazione. TO_WITHOUTTAX e il valore fatturato corretto. WWPRICE non e il prezzo del servizio ma del prodotto nel catalogo.,Da escludere dai calcoli di prezzo medio ma includere nel TO aggregato
Transactions,ARTICLE_WWPRICE=0 con TO_WITHOUTTAX>0 — Sale (20.158),20158,2.2%,MANTENERE. Flag WWPRICE_MISSING=1.,Articoli legacy/custom non catalogati. Il TO_WITHOUTTAX e valido. Droppare perderebbe informazione di spend.,Inclusi nel TO aggregato per cliente. Esclusi da feature basate su WWPRICE.
Transactions,TRS_DATE > DATE_TARGET (leakage per snapshot),63683,6.9% (post-2021),NON filtrare qui. Filtrare in feature engineering per ogni snapshot (TRS_DATE <= DATE_TARGET).,Il filtro e snapshot-specifico. Applicarlo in cleaning eliminerebbe transazioni legittime per snapshot storici.,CRITICO — applicare in feature engineering. Regola: TRS_DATE <= DATE_TARGET per ogni snapshot.
